sampler,best_threshold,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,mean_gap_f1,mean_gap_auc
smoteenn,0.3999999999999999,0.7553191489361702,0.25,0.5454545454545454,0.34285714285714286,0.6571741511500547,0.22549080462545212,0.12882277656653454,0.09042195262626132
smote_nearmiss,0.49999999999999994,0.8085106382978723,0.36,0.8181818181818182,0.5,0.7776560788608983,0.4734895229965652,0.1419156655611783,0.11124749861463464
adasyn_nearmiss,0.49999999999999994,0.776595744680851,0.2916666666666667,0.6363636363636364,0.4,0.7809419496166484,0.4554219671144355,0.15047615765655967,0.13441275642127515
smote,0.4699999999999999,0.6914893617021277,0.23529411764705882,0.7272727272727273,0.3555555555555555,0.76013143483023,0.4510580208856071,0.26622166077824805,0.15601563690437248
bsmote,0.4799999999999999,0.723404255319149,0.2413793103448276,0.6363636363636364,0.35,0.7250821467688938,0.4286683250577198,0.27635643533901627,0.16021124124944172
svmsmote,0.4799999999999999,0.7659574468085106,0.2962962962962963,0.7272727272727273,0.42105263157894735,0.7382256297918949,0.4595759795759796,0.26567382778991705,0.16117381209745332
adasyn_tomek,0.48999999999999994,0.7553191489361702,0.2857142857142857,0.7272727272727273,0.4102564102564102,0.732749178532311,0.31857382383698174,0.2544330729958621,0.16131846633450408
smotetomek,0.4799999999999999,0.7446808510638298,0.27586206896551724,0.7272727272727273,0.4,0.7447973713033954,0.41754136882428006,0.2574851274595169,0.16284101831499748
none,0.4799999999999999,0.7659574468085106,0.28,0.6363636363636364,0.3888888888888889,0.7382256297918949,0.3380383000403496,0.2898463156025351,0.1861178977217699
none_brf,0.69,0.7340425531914894,0.20833333333333334,0.45454545454545453,0.28571428571428575,0.6418400876232201,0.17492121697841814,0.052193521836039966,0.24671721916026343
