fold,train_f1@0.5,val_f1@0.5,gap_f1@0.5,train_roc_auc,val_roc_auc,gap_roc_auc
1,0.39436619718309857,0.4444444444444444,-0.050078247261345854,0.8304043126684636,0.8501683501683501,-0.019764037499886533
2,0.4,0.09999999999999999,0.30000000000000004,0.8335309973045822,0.6144781144781144,0.21905288282646784
3,0.419047619047619,0.18181818181818185,0.23722943722943715,0.7757412398921834,0.6784511784511784,0.09729006144100494
4,0.4271844660194175,0.16666666666666669,0.2605177993527508,0.8218867924528301,0.6599326599326599,0.1619541325201702
5,0.40909090909090906,0.3157894736842105,0.09330143540669855,0.8236531986531986,0.8022388059701493,0.021414392683049344
6,0.43478260869565216,0.34782608695652173,0.08695652173913043,0.808733153638814,0.7962962962962963,0.01243685734251776
7,0.3953488372093023,0.34782608695652173,0.04752275025278058,0.8322371967654987,0.7037037037037037,0.12853349306179496
8,0.39175257731958757,0.46153846153846156,-0.069785884218874,0.755256064690027,0.861952861952862,-0.10669679726283499
9,0.3669724770642202,0.32,0.0469724770642202,0.8226415094339623,0.6430976430976431,0.17954386633631925
10,0.38983050847457634,0.23076923076923078,0.15906127770534556,0.79871632996633,0.6063432835820896,0.19237304638424046
11,0.43181818181818177,0.28571428571428575,0.146103896103896,0.8473315363881402,0.8265993265993267,0.020732209788813516
12,0.47916666666666663,0.17391304347826086,0.30525362318840576,0.8264150943396227,0.6144781144781145,0.21193697986150817
13,0.39622641509433965,0.16,0.23622641509433964,0.8033423180592992,0.7407407407407407,0.06260157731855853
14,0.43902439024390244,0.4761904761904762,-0.03716608594657378,0.8391374663072777,0.7323232323232323,0.10681423398404544
15,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.782617845117845,0.667910447761194,0.11470739735665103
16,0.5555555555555556,0.14814814814814814,0.40740740740740744,0.8640431266846361,0.5993265993265993,0.26471652735803686
17,0.48543689320388345,0.14814814814814814,0.3372887450557353,0.8471159029649595,0.6094276094276094,0.2376882935373501
18,0.392156862745098,0.3448275862068966,0.047329276538201404,0.8061455525606469,0.8265993265993267,-0.020453774038679762
19,0.42666666666666664,0.4210526315789474,0.005614035087719238,0.8075471698113208,0.8181818181818181,-0.010634648370497324
20,0.3609022556390977,0.46153846153846156,-0.10063620589936384,0.7904040404040404,0.8078358208955223,-0.017431780491481863
21,0.41025641025641024,0.30303030303030304,0.1072261072261072,0.798167115902965,0.7104377104377104,0.08772940546525454
22,0.4615384615384615,0.3,0.16153846153846152,0.819622641509434,0.7929292929292929,0.026693348580141052
23,0.4077669902912622,0.42424242424242425,-0.016475433951162077,0.8404312668463612,0.8518518518518516,-0.01142058500549048
24,0.4,0.27272727272727276,0.12727272727272726,0.8380592991913747,0.7373737373737373,0.10068556181763733
25,0.37398373983739835,0.1739130434782609,0.20007069635913746,0.7989267676767676,0.5988805970149254,0.20004617066184227
